factor_name,monotonicity_score,Q1,Q2,Q3,Q4,Q5
KMID,-0.3,0.014808,0.020169,0.021389,0.017167,0.013974
KLEN,0.6,0.013833,0.017604,0.023541,0.018301,0.018072
KMID2,0.1,0.01169,0.022257,0.020243,0.020954,0.014201
KUP,-0.1,0.015461,0.015481,0.022071,0.022032,0.014228
KLOW,0.7,0.013733,0.014016,0.025634,0.014939,0.02185
KSFT,0.5,0.012424,0.018184,0.02638,0.015308,0.01966
ROC5,0.3,0.014209,0.017354,0.024905,0.020548,0.016972
MAX_RATIO_5,0.5,0.016375,0.015745,0.024748,0.019391,0.017109
MIN_RATIO_5,-0.3,0.015016,0.021172,0.023589,0.019826,0.012656
MA_RATIO_5,0.3,0.014519,0.016831,0.026739,0.018229,0.015693
ROC10,0.4,0.012392,0.016993,0.023705,0.025009,0.01522
MAX_RATIO_10,-0.2,0.020369,0.017716,0.022314,0.021574,0.012812
MIN_RATIO_10,-0.4,0.015118,0.022858,0.02238,0.019856,0.013551
MA_RATIO_10,-0.6,0.017484,0.022975,0.02319,0.017028,0.014779
ROC20,0.7,0.006106,0.013991,0.027691,0.029112,0.017134
MAX_RATIO_20,-0.6,0.022247,0.024564,0.022865,0.013064,0.013715
MIN_RATIO_20,-0.3,0.015132,0.02353,0.027506,0.020051,0.009886
MA_RATIO_20,-0.6,0.017199,0.025645,0.02625,0.016445,0.011918
ROC30,0.3,0.005566,0.019854,0.02849,0.024823,0.016077
MAX_RATIO_30,-0.9,0.02295,0.025269,0.022511,0.014425,0.010839
MIN_RATIO_30,-0.3,0.0145,0.022656,0.028798,0.016444,0.012224
MA_RATIO_30,-0.6,0.016008,0.028094,0.028261,0.013312,0.010025
ROC60,0.7,0.012243,0.015561,0.027266,0.018706,0.021814
MAX_RATIO_60,-0.7,0.021251,0.024142,0.023463,0.013279,0.006887
MIN_RATIO_60,-0.6,0.019431,0.019913,0.030661,0.013871,0.009341
MA_RATIO_60,-0.6,0.017423,0.023211,0.029259,0.01213,0.007215
ROC120,0.3,0.016928,0.012489,0.028485,0.013135,0.028314
MAX_RATIO_120,-0.7,0.021998,0.020087,0.025467,0.017548,0.012134
MIN_RATIO_120,-0.7,0.021752,0.021743,0.030247,0.0163,0.010834
MA_RATIO_120,-0.6,0.019553,0.023573,0.032976,0.0187,0.011469
ROC250,0.6,0.009827,0.0138,0.031072,0.01598,0.014727
MAX_RATIO_250,-0.8,0.031924,0.014072,0.01643,0.004704,0.011967
MIN_RATIO_250,-0.1,0.016383,0.016543,0.024002,0.01924,0.003917
MA_RATIO_250,-0.3,0.023126,0.01322,0.031451,0.004241,0.013268
STD5,-0.6,0.019749,0.02018,0.021825,0.015965,0.014358
STD10,-0.7,0.023462,0.020833,0.023513,0.014628,0.010823
STD20,-0.5,0.022822,0.018949,0.025929,0.022644,0.007698
STD30,-0.5,0.025314,0.014114,0.028577,0.021893,0.007913
STD60,-0.7,0.026715,0.01945,0.027718,0.01308,0.004895
STD120,-0.3,0.019143,0.026899,0.037722,0.021226,0.002876
STD250,0.0,0.011448,0.021449,0.025714,0.034882,-0.009848
ATR_RATIO_5,0.3,0.018109,0.015072,0.024238,0.016991,0.019218
ATR_RATIO_20,-0.7,0.02326,0.01972,0.025363,0.016603,0.013629
ATR_RATIO_60,-0.6,0.014677,0.022158,0.031492,0.012237,0.00909
ROC_STD_20,0.6,0.005702,0.015715,0.028566,0.026412,0.017073
ROC_STD_60,0.7,0.013054,0.013088,0.026045,0.020157,0.021938
ROC_STD_120,0.1,0.015229,0.014471,0.02824,0.013847,0.028071
ROC_STD_250,0.5,0.00928,0.014901,0.031739,0.013264,0.016601
MOM_ACC_20_60,0.5,0.008443,0.015911,0.030782,0.013039,0.020156
MOM_ACC_60_120,-0.7,0.018885,0.016211,0.035109,0.016196,0.014456
VMA_RATIO_5,-0.3,0.015284,0.019809,0.02465,0.019549,0.014879
VSTD_5,-0.1,0.017224,0.017293,0.020205,0.018973,0.017051
VMA_RATIO_10,0.5,0.01595,0.014228,0.026495,0.020848,0.017015
VSTD_10,0.5,0.012975,0.018506,0.027535,0.014532,0.020133
VMA_RATIO_20,0.5,0.016179,0.015959,0.029574,0.018341,0.016183
VSTD_20,0.6,0.012257,0.016555,0.028121,0.022611,0.018842
VMA_RATIO_60,0.3,0.013645,0.017653,0.029034,0.020457,0.015636
VSTD_60,0.9,0.000257,0.014667,0.030649,0.017047,0.031176
CORR_PV_5,0.2,0.015739,0.01866,0.023469,0.017087,0.017595
WVMA_5,-0.6,0.021409,0.017048,0.028853,0.012696,0.013704
CORR_PV_10,0.5,0.014949,0.013617,0.024353,0.02277,0.018443
WVMA_10,-0.7,0.023989,0.01794,0.030178,0.015887,0.011577
CORR_PV_20,0.7,0.012152,0.015352,0.02416,0.024913,0.020326
WVMA_20,-0.2,0.021502,0.011762,0.029044,0.023017,0.00473
TURNOVER_SURGE_5,0.0,,,,,
TURNOVER_SURGE_20,0.0,,,,,
TURNOVER_STD_20,0.0,,,,,
AMOUNT_RATIO_5_20,0.6,0.014471,0.018421,0.025106,0.021398,0.019049
LIMIT_UP_SPACE,0.6,0.014975,0.015893,0.026058,0.019153,0.0161
IS_LIMIT_UP_LAG1,0.0,,,,,
IS_LIMIT_DOWN_LAG1,0.0,,,,,
UPPER_SHADOW_RATIO,-0.6,0.016845,0.01744,0.026838,0.015249,0.015213
LOWER_SHADOW_RATIO,0.6,0.016156,0.011501,0.025334,0.019271,0.019831
ENTITY_RATIO,-0.6,0.018144,0.01839,0.022125,0.016463,0.015179
INTRADAY_CLOSE_LOC,0.7,0.013436,0.015799,0.026087,0.016547,0.020639
LOG_CIRC_MV,0.0,,,,,
EFFICIENCY_RATIO_10,-0.4,0.019979,0.022365,0.020879,0.020183,0.013238
AMIHUD_20,0.3,0.011148,0.025752,0.02015,0.028903,0.011451
AMIHUD_20_LN,0.3,0.011148,0.025752,0.02015,0.028903,0.011451
